Date,Sample_Name,Sample_ID,M1_DO_mg_per_L,M2_DO_mg_per_L,M3_DO_mg_per_L,M4_DO_mg_per_L,M5_DO_mg_per_L,Temperature_DegreeC
6/4/2024,DIT_02_INC-FC1,FC1,6.67,6.66,6.68,6.66,6.66,28
6/4/2024,DIT_02_INC-BC1,BC1,7.09,7.08,7.08,7.08,7.09,28
6/4/2024,DIT_02_INC-SC1,SC1,7.38,7.41,7.39,7.4,7.39,28
6/4/2024,DIT_02_INC-FL1,FL1,6.11,6.12,6.14,6.13,6.15,28
6/4/2024,DIT_02_INC-BL1,BL1,5.59,5.6,5.59,5.62,5.6,28
6/4/2024,DIT_02_INC-SL1,SL1,7.2,7.2,7.21,7.2,7.17,28
6/4/2024,DIT_03_INC-FC1,FC1,7.41,7.39,7.38,7.41,7.39,28
6/4/2024,DIT_03_INC-BC1,BC1,7.57,7.55,7.57,7.58,7.58,28
6/4/2024,DIT_03_INC-SC1,SC1,7.34,7.34,7.32,7.31,7.3,28
6/4/2024,DIT_03_INC-FL1,FL1,6.25,6.24,6.25,6.24,6.21,28
6/4/2024,DIT_03_INC-BL1,BL1,5.51,5.5,5.49,5.48,5.51,28
6/4/2024,DIT_03_INC-SL1,SL1,7.17,7.19,7.18,7.18,7.19,28
6/4/2024,DIT_04_INC-FC1,FC1,7.37,7.37,7.36,7.37,7.36,28
6/4/2024,DIT_04_INC-BC1,BC1,7.22,7.2,7.19,7.21,7.2,28
6/4/2024,DIT_04_INC-SC1,SC1,7.38,7.4,7.39,7.37,7.38,28
6/4/2024,DIT_04_INC-FL1,FL1,6.19,6.18,6.19,6.17,6.19,28
6/4/2024,DIT_04_INC-BL1,BL1,5.49,5.49,5.49,5.47,5.49,28
6/4/2024,DIT_04_INC-SL1,SL1,7.03,7.03,7.03,7.03,7.02,28
6/4/2024,DIT_05_INC-FC1,FC1,7.76,7.75,7.74,7.74,7.73,28
6/4/2024,DIT_05_INC-BC1,BC1,7.39,7.37,7.41,7.4,7.39,28
6/4/2024,DIT_05_INC-SC1,SC1,7.67,7.58,7.56,7.58,7.58,28
6/4/2024,DIT_05_INC-FL1,FL1,6.54,6.54,6.53,6.54,6.54,28
6/4/2024,DIT_05_INC-BL1,BL1,5.59,5.58,5.56,5.57,5.56,28
6/4/2024,DIT_05_INC-SL1,SL1,7.16,7.17,7.16,7.18,7.17,28
6/4/2024,DIT_06_INC-FC1,FC1,7.82,7.82,7.81,7.82,7.82,28
6/4/2024,DIT_06_INC-BC1,BC1,7.29,7.3,7.28,7.29,7.28,28
6/4/2024,DIT_06_INC-SC1,SC1,7.77,7.73,7.74,7.75,7.72,28
6/4/2024,DIT_06_INC-FL1,FL1,6.04,6.06,6.08,6.04,6.06,28
6/4/2024,DIT_06_INC-BL1,BL1,5.54,5.55,5.57,5.54,5.53,28
6/4/2024,DIT_06_INC-SL1,SL1,7.12,7.12,7.12,7.12,7.1,28
6/5/2024,DIT_03_INC-FC1,FC1,6.61,6.64,6.63,6.64,6.66,28
6/5/2024,DIT_03_INC-BC1,BC1,7.79,7.78,7.79,7.81,7.78,28
6/5/2024,DIT_03_INC-SC1,SC1,11.82,11.84,11.8,11.12,11.86,28
6/5/2024,DIT_03_INC-FL1,FL1,8.46,8.4,8.4,8.33,8.36,28
6/5/2024,DIT_03_INC-BL1,BL1,5.02,5.02,4.99,4.97,4.95,28
6/5/2024,DIT_03_INC-SL1,SL1,9.28,9.28,9.31,9.24,9.3,28
6/5/2024,DIT_04_INC-FC1,FC1,8.61,8.65,8.65,8.61,8.61,28
6/5/2024,DIT_04_INC-BC1,BC1,9.05,9.14,9.04,9.1,9.14,28
6/5/2024,DIT_04_INC-SC1,SC1,12.69,12.75,12.75,12.8,12.65,28
6/5/2024,DIT_04_INC-FL1,FL1,8.7,8.7,8.71,8.7,8.63,28
6/5/2024,DIT_04_INC-BL1,BL1,5.72,5.73,5.75,5.72,5.71,28
6/5/2024,DIT_04_INC-SL1,SL1,8.53,8.49,8.49,8.46,8.43,28
6/5/2024,DIT_05_INC-FC1,FC1,9.56,9.54,9.51,9.47,9.51,28
6/5/2024,DIT_05_INC-BC1,BC1,7.46,7.43,7.4,7.44,7.38,28
6/5/2024,DIT_05_INC-SC1,SC1,13.65,13.65,13.62,13.58,13.58,28
6/5/2024,DIT_05_INC-FL1,FL1,8.98,8.98,9.04,9.05,9.02,28
6/5/2024,DIT_05_INC-BL1,BL1,5.52,5.53,5.51,5.55,5.52,28
6/5/2024,DIT_05_INC-SL1,SL1,9.04,9.02,9.02,9.05,9.04,28
6/5/2024,DIT_06_INC-FC1,FC1,9.97,10,9.97,10.02,10,28
6/5/2024,DIT_06_INC-BC1,BC1,6.78,6.75,6.73,6.76,6.76,28
6/5/2024,DIT_06_INC-SC1,SC1,13.15,13.13,13.13,13.13,13.15,28
6/5/2024,DIT_06_INC-FL1,FL1,8.02,8.03,8.03,7.97,7.94,28
6/5/2024,DIT_06_INC-BL1,BL1,5.28,5.31,5.28,5.28,5.31,28
6/5/2024,DIT_06_INC-SL1,SL1,8.78,8.76,8.73,8.73,8.73,28
