Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.163324087482155	0.00295906789360217	0.231812010868769	0.00105021103630039	1.34088253974915	0.160365019588553	0.309424468236444	0.518268708685349	6.48397338216009E-4	99.8508123909881
797	0.160856349073436		0.22850170387516		1.3260293006897	0.157897281179834	0.301607343989941	0.523519351654448	6.15721032559115E-4	99.8583254461837
794	0.171651488953397		0.244795940641717		1.31175875663757	0.168692421059795	0.319735595202919	0.527599753016972	6.04772513070802E-4	99.8608428960913
791	0.187433430800125		0.267738083723262		1.29830348491669	0.184474362906523	0.3462417944945	0.532790569595587	6.24267825415919E-4	99.8563602818534
788	0.174376366490726		0.249093855205842		1.28535497188568	0.171417298597124	0.318824131277963	0.537654718637581	6.33161837324859E-4	99.8543153224985
785	0.169480490426915		0.242582770637132		1.27193987369537	0.166521422533313	0.307214893352003	0.542035643898668	5.90350015414477E-4	99.8641592326957
782	0.175995196669194		0.252371752150142		1.25860202312469	0.173036128775592	0.316313800100697	0.547039454872052	4.84907105953474E-4	99.8884083225063
779	0.186829411561206		0.268514915232609		1.24614322185516	0.183870343667604	0.333299328219727	0.551667309531412	3.72023490592692E-4	99.9143751046844
776	0.20682035661072		0.298060049544484		1.23451888561249	0.203861288717118	0.366664254851068	0.555988989981918	3.2651295296047E-4	99.9248458690587
773	0.23543246892315		0.340193155378936		1.22383856773376	0.232473401029548	0.415056215261304	0.560100999531332	2.78093888970975E-4	99.9359870127406
770	0.301048981264719		0.437049993370822		1.21381187438965	0.298089913371117	0.529221713028944	0.563260928326298	2.82366640553116E-4	99.935003809951
767	0.445343791860631		0.648622072298371		1.20520555973053	0.442384723967029	0.780457207518094	0.566827648851935	2.17759781537759E-4	99.9498715258378
764	0.481475816862739		0.698960075026918		1.19851565361023	0.478516748969136	0.836455896801741	0.57207648460461	1.53893121565987E-4	99.9645710767625
761	0.387335031716446		0.561706412245278		1.19181299209595	0.384375963822844	0.668197344700019	0.575243177590605	8.136685294031E-5	99.981266344704
758	0.367138311216093		0.533121886907836		1.18398952484131	0.364179243322491	0.629967290696658	0.578092305268355	3.43185046673921E-5	99.9920981844838
755	0.397481314329712		0.577564682445583		1.17633533477783	0.39452224643611	0.678174343729504	0.581741627479598	-4.13083303299337E-5	100.00951204693
752	0.440506542429276		0.640215551335868		1.16980671882629	0.437547474535674	0.747699909523329	0.585191289931568	-6.25050448815913E-5	100.014393354202
749	0.482819327294382		0.701642988834556		1.16390073299408	0.47986025940078	0.815420447609749	0.588482004354195	-1.08630043346824E-4	100.025016120356
746	0.548325226385661		0.797140667896326		1.15848278999329	0.545366158492058	0.922257093550232	0.591338534890168	-1.60965928542772E-4	100.03707064422
743	0.640857423281545		0.931277255800284		1.15345752239227	0.637898355387943	1.07297738231575	0.59451239690738	-1.994999469794E-4	100.04594711285
740	0.722608680889454		1.04866467232341		1.14841175079346	0.719649612995852	1.20309275764328	0.598166357850547	-2.04488060576058E-4	100.047096202779
737	0.858141340565177		1.24528406728972		1.14263534545898	0.855182272671575	1.42170558217189	0.601518544623807	-1.77240390868622E-4	100.040819437055
734	1.02315983020121		1.48378725969608		1.13635516166687	1.0202007623076	1.68491589863924	0.605490614179337	-3.91840851000181E-4	100.090265404952
731	1.07394184446362		1.55649736804812		1.12990951538086	1.07098277657002	1.75751454337976	0.609373493154989	-1.54687871589953E-4	100.035624542753
728	1.053547677675		1.52945066161323		1.12338900566101	1.05058860978139	1.71698826242545	0.611878737189101	-4.01851679496188E-5	100.009253404969
725	1.03685513349121		1.50991004035342		1.11702907085419	1.03389606559761	1.6854402931913	0.613427879809359	-1.88470470803349E-6	100.000433970238
722	1.03878328991661		1.51826387088644		1.11090362071991	1.03582422202301	1.68547814813323	0.61455808440486	2.90367566356759E-6	99.9993314062053
719	1.0150858504361		1.48732409439874		1.10438621044159	1.0121267825425	1.64142038172495	0.616616434041637	1.60036692331602E-4	99.9631569784992
716	0.912476972367106		1.33900446120234		1.09723365306854	0.909517904473503	1.46804842954826	0.619542166434778	2.09521779516922E-4	99.9517674630124
713	0.740784727569756		1.0883025304414		1.08915162086487	0.737825659676153	1.18418262596915	0.623067458933802	2.76914159743016E-4	99.9362584819161
