Wavelength	I	Idark	R	Rdark	XCorrect	Ic	Rc	Ic/Rc
nm	uA	uA	uA	uA				
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp 	Dark subtracted Abs Detecto	Corrected Ref Detector	Corrected Intensity
700	0.31752259194337	0.00295203819049	0.447726540874547	0.0010653952174531	1.04366636276245	0.31457055375288	0.466165213275249	0.674804864873392
699	0.315115274314592		0.446212672167217		1.04104018211365	0.312163236124102	0.463416202263177	0.67361312487478
698	0.317119026442816		0.45047531863456		1.03894531726837	0.314166988252326	0.46691233546814	0.672860758620422
697	0.321414692929557		0.4575899548366		1.0374116897583	0.318462654739067	0.473603914810663	0.672424033628147
696	0.33079994069479		0.471627621101309		1.03644335269928	0.3278479025043	0.487711091048699	0.67221744291143
695	0.343528155670786		0.49016243853213		1.03592443466187	0.340576117480296	0.506667578090547	0.672188496378254
694	0.361618519673208		0.516212047803041		1.0358065366745	0.358666481482718	0.53359227009414	0.672173308319177
693	0.37614364321136		0.536847916556033		1.03604543209076	0.37319160502087	0.555095033826906	0.672302186614844
692	0.392229466206166		0.559672509055163		1.03646862506866	0.389277428015676	0.578978747232946	0.672351843441766
691	0.403302438268854		0.575308187093272		1.0369279384613	0.400350400078364	0.595448394356056	0.672351128784755
690	0.413917384210326		0.590225636984836		1.03740334510803	0.410965346019836	0.61119680561414	0.672394459926686
689	0.423959879897737		0.604509815089381		1.0377025604248	0.421007841707247	0.62619581957516	0.672326177445384
688	0.428843903926073		0.611402705992014		1.03781735897064	0.425891865735583	0.633418655949299	0.672370258967669
687	0.435709469389362		0.621339862629553		1.03772366046906	0.432757431198872	0.643673490818378	0.672324458552202
686	0.440326582102846		0.628168012016332		1.03746140003204	0.437374543912356	0.650594758787923	0.672268778689823
685	0.44257384314123		0.631379715494709		1.03700959682465	0.43962180495074	0.653641999143518	0.672572762348176
684	0.443512287656523		0.632864217136727		1.03643262386322	0.440560249466033	0.654816910755484	0.672799132444127
683	0.439441581496031		0.627088686153945		1.03570008277893	0.436489543305541	0.648372374244463	0.673208114109079
682	0.434710220125777		0.620484432029944		1.03494417667389	0.431758181935287	0.641064125070037	0.673502330033078
681	0.433853321630666		0.619619692043165		1.03417015075684	0.430901283440176	0.639690390399535	0.673609123893584
