day,sampleID,shortID,read1,read2,read3,read4,read5
1,DIT_02_INC-FC1,FC1,6.67,6.66,6.68,6.66,6.66
1,DIT_02_INC-BC1,BC1,7.09,7.08,7.08,7.08,7.09
1,DIT_02_INC-SC1,SC1,7.38,7.41,7.39,7.4,7.39
1,DIT_02_INC-FL1,FL1,6.11,6.12,6.14,6.13,6.15
1,DIT_02_INC-BL1,BL1,5.59,5.6,5.59,5.62,5.6
1,DIT_02_INC-SL1,SL1,7.2,7.2,7.21,7.2,7.17
1,DIT_03_INC-FC1,FC1,7.41,7.39,7.38,7.41,7.39
1,DIT_03_INC-BC1,BC1,7.57,7.55,7.57,7.58,7.58
1,DIT_03_INC-SC1,SC1,7.34,7.34,7.32,7.31,7.3
1,DIT_03_INC-FL1,FL1,6.25,6.24,6.25,6.24,6.21
1,DIT_03_INC-BL1,BL1,5.51,5.5,5.49,5.48,5.51
1,DIT_03_INC-SL1,SL1,7.17,7.19,7.18,7.18,7.19
1,DIT_04_INC-FC1,FC1,7.37,7.37,7.36,7.37,7.36
1,DIT_04_INC-BC1,BC1,7.22,7.2,7.19,7.21,7.2
1,DIT_04_INC-SC1,SC1,7.38,7.4,7.39,7.37,7.38
1,DIT_04_INC-FL1,FL1,6.19,6.18,6.19,6.17,6.19
1,DIT_04_INC-BL1,BL1,5.49,5.49,5.49,5.47,5.49
1,DIT_04_INC-SL1,SL1,7.03,7.03,7.03,7.03,7.02
1,DIT_05_INC-FC1,FC1,7.76,7.75,7.74,7.74,7.73
1,DIT_05_INC-BC1,BC1,7.39,7.37,7.41,7.4,7.39
1,DIT_05_INC-SC1,SC1,7.67,7.58,7.56,7.58,7.58
1,DIT_05_INC-FL1,FL1,6.54,6.54,6.53,6.54,6.54
1,DIT_05_INC-BL1,BL1,5.59,5.58,5.56,5.57,5.56
1,DIT_05_INC-SL1,SL1,7.16,7.17,7.16,7.18,7.17
1,DIT_06_INC-FC1,FC1,7.82,7.82,7.81,7.82,7.82
1,DIT_06_INC-BC1,BC1,7.29,7.3,7.28,7.29,7.28
1,DIT_06_INC-SC1,SC1,7.77,7.73,7.74,7.75,7.72
1,DIT_06_INC-FL1,FL1,6.04,6.06,6.08,6.04,6.06
1,DIT_06_INC-BL1,BL1,5.54,5.55,5.57,5.54,5.53
1,DIT_06_INC-SL1,SL1,7.12,7.12,7.12,7.12,7.1
2,DIT_03_INC-FC1,FC1,6.61,6.64,6.63,6.64,6.66
2,DIT_03_INC-BC1,BC1,7.79,7.78,7.79,7.81,7.78
2,DIT_03_INC-SC1,SC1,11.82,11.84,11.8,11.12,11.86
2,DIT_03_INC-FL1,FL1,8.46,8.4,8.4,8.33,8.36
2,DIT_03_INC-BL1,BL1,5.02,5.02,4.99,4.97,4.95
2,DIT_03_INC-SL1,SL1,9.28,9.28,9.31,9.24,9.3
2,DIT_04_INC-FC1,FC1,8.61,8.65,8.65,8.61,8.61
2,DIT_04_INC-BC1,BC1,9.05,9.14,9.04,9.1,9.14
