[Header]	
System	9 mL TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	6/26/2024 6:26:54 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	CondBlank1	Untitled					0.000	0.000	mg/L	0	6/17/2024 11:43:40 AM	
Unknown	NPOC/TN	CondBlank2	Untitled					0.000	0.000	mg/L	0	6/17/2024 12:03:54 PM	
Unknown	NPOC/TN	CondBlank3	Untitled					0.000	0.000	mg/L	0	6/17/2024 12:23:31 PM	
Unknown	NPOC/TN	CondBlank4	Untitled					0.000	0.000	mg/L	0	6/17/2024 12:42:23 PM	
Unknown	NPOC/TN	CondBlank5	Untitled					0.000	0.000	mg/L	0	6/17/2024 1:02:54 PM	
Unknown	NPOC/TN	CondBlank6	Untitled					0.000	0.000	mg/L	0	6/17/2024 1:21:30 PM	
Unknown	NPOC/TN	CondBlank7	Untitled					0.000	0.000	mg/L	0	6/17/2024 1:39:30 PM	
Unknown	NPOC/TN	CondBlank8	Untitled					0.000	0.000	mg/L	0	6/17/2024 1:57:26 PM	
Unknown	NPOC/TN	CondBlank9	Untitled					0.000	0.000	mg/L	0	6/17/2024 2:11:22 PM	
Unknown	NPOC/TN	CondBlank10	Untitled					0.000	0.000	mg/L	0	6/17/2024 2:27:41 PM	
Unknown	NPOC/TN	CondBlank11	Untitled					0.000	0.000	mg/L	0	6/17/2024 4:27:06 PM	
Unknown	NPOC/TN	CondBlank12	Untitled					0.000	0.000	mg/L	0	6/17/2024 4:46:55 PM	
Unknown	NPOC/TN	CondBlank13	Untitled					0.000	0.000	mg/L	0	6/17/2024 5:02:49 PM	
Unknown	NPOC	CondBlank1	Untitled					0.000		mg/L	1	6/17/2024 10:15:23 PM	
Unknown	NPOC	CondBlank2	Untitled					0.000		mg/L	2	6/17/2024 10:35:53 PM	
Unknown	NPOC	CondBlank3	Untitled					0.000		mg/L	3	6/17/2024 10:56:10 PM	
Standard	NPOC	STD_0-10ppmNPOC	Untitled					10.00		mg/L	75, 4, 5, 6, 7, 8, 9, 10	6/18/2024 1:48:51 AM	
Unknown	NPOC	Blank1	Untitled					0.2811		mg/L	11	6/18/2024 2:09:28 AM	
Unknown	NPOC	CKSTD1-1ppmNPOC	Untitled					0.9893		mg/L	12	6/18/2024 2:31:19 AM	
