Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.164295614425294	0.00295896843490811	0.236581115235088	0.00104320103800687	1.34088253974915	0.161336645990386	0.315828676595799	0.510835962488823	0.00113023959170393	99.7400910661271
797	0.16255168289082		0.234317579324944		1.3260293006897	0.159592714455912	0.309328660708651	0.515932516858592	0.00112148267305824	99.7421022007494
794	0.173473075478711		0.251122676914044		1.31175875663757	0.170514107043803	0.328043942335726	0.51979044584611	0.00111214341348893	99.7442471218506
791	0.188304288188003		0.272965313698103		1.29830348491669	0.185345319753095	0.353037426492511	0.525001900207956	0.00111716315897874	99.7430942454916
788	0.175914063628137		0.255077142840625		1.28535497188568	0.172955095193229	0.326523790123713	0.529686045625341	0.00112850480568044	99.7404894779623
785	0.171058623584062		0.248632567518476		1.27193987369537	0.168099655149153	0.314918787529486	0.533787318527048	0.00113811797149504	99.7382817334664
782	0.177543929802044		0.258604110142206		1.25860202312469	0.174584961367136	0.324166681276381	0.538565409250949	0.00114546809108428	99.7365937495627
779	0.188591853647059		0.275376069914056		1.24614322185516	0.185632885212151	0.34185804508197	0.543011603449731	0.00115349817630558	99.7347496415285
776	0.208812441487404		0.305782627867508		1.23451888561249	0.205853473052496	0.376206577611744	0.547182014624269	0.00115088362528093	99.7353500690901
773	0.241627419841389		0.354798485825948		1.22383856773376	0.238668451406481	0.432939361063123	0.551274549905576	0.00105346283772432	99.7577251777214
770	0.306939286035494		0.4529635736295		1.21381187438965	0.303980317600586	0.548546314530149	0.554156157007375	0.00110523626628626	99.7458334963151
767	0.450076186708664		0.666269723289866		1.20520555973053	0.447117218273756	0.801734703098146	0.557687245601269	0.00110345650041492	99.7462422617989
764	0.47943419043657		0.70720274436654		1.19851565361023	0.476475222001662	0.846343266625498	0.562981051295466	0.00105471405381356	99.7574377729853
761	0.386700980815659		0.570196818858081		1.19181299209595	0.383742012380751	0.678324676216375	0.565720260275985	0.00106618966976249	99.7548018589519
758	0.371044652295455		0.548164831641428		1.18398952484131	0.368085683860547	0.647786279448547	0.568220870892625	0.00103335180339539	99.7623448023576
755	0.401448347547503		0.593823305885256		1.17633533477783	0.398489379112595	0.697308183085127	0.571468095139144	0.00104229180176671	99.760291204954
752	0.444002100581812		0.657070214049282		1.16980671882629	0.441043132146904	0.767424807552134	0.574705336349115	0.00102729690534623	99.7637356904829
749	0.487062774085287		0.720915811938698		1.16390073299408	0.484103805650379	0.837860259489677	0.577785854105596	0.00103092040888429	99.7629033226858
746	0.551673272179167		0.817143749786613		1.15848278999329	0.548714303744259	0.945438440629337	0.580380784368155	0.00104802426241354	99.7589744298323
743	0.643094581017967		0.952489844826851		1.15345752239227	0.640135612583059	1.09745328843312	0.583291898917179	0.00104888390814187	99.7587769663716
740	0.726236699368609		1.07500875730116		1.14841175079346	0.723277730933701	1.23335466476003	0.586431260690473	0.00107220939524874	99.753419174192
737	0.86219460592984		1.27706536171839		1.14263534545898	0.859235637494932	1.45802802238235	0.589313527795565	0.00108047937875665	99.7515196536793
734	1.02469312822975		1.5162764148397		1.13635516166687	1.02173415979484	1.72184308363263	0.593395629083257	0.00109127815056363	99.7490393539038
731	1.07714074093522		1.59104179845208		1.12990951538086	1.07418177250031	1.79655454466038	0.597912140042132	0.0010630717156688	99.75551803662
728	1.05889422062238		1.56314737351471		1.12338900566101	1.05593525218748	1.75485065305752	0.601723713837238	0.00102410938828348	99.7644679120284
725	1.04716035409212		1.54650015739471		1.11702907085419	1.04420138565721	1.72632034800427	0.604871156656628	9.71790926473262E-4	99.7764870329858
722	1.05265210577916		1.55685911304179		1.11090362071991	1.04969313734425	1.72836152981866	0.607334240686548	9.43612484386627E-4	99.7829610668309
719	1.01571292745997		1.50524528390233		1.10438621044159	1.01275395902506	1.66122003803287	0.609644680318392	9.62444017556747E-4	99.7786344509499
716	0.911917366351275		1.35510042549349		1.09723365306854	0.908958397916367	1.48571715485314	0.611797740200567	0.0010031266200402	99.7692881097663
713	0.74409890022497		1.10944600386765		1.08915162086487	0.741139931790062	1.20721870927307	0.613923497123681	0.00107582975246998	99.7525876151434
710	0.564775009797714		0.84663536710041		1.07961905002594	0.561816041362806	0.912917411033669	0.615407302536467	0.00110307076009378	99.746330856442
707	0.425709665962522		0.643905463125323		1.06877458095551	0.422750697527614	0.68707484477448	0.615290605882063	0.00137798396170403	99.6832103079306
704	0.344421508480937		0.527752639797943		1.05739140510559	0.341462540046029	0.556938033532746	0.613106879916386	0.00128559456583498	99.7044186162078
701	0.303773307807178		0.472498121586112		1.04672133922577	0.30081433937227	0.493481925820691	0.609575191375037	0.00112889397042988	99.7404001020507
698	0.292546537374743		0.45961356475283		1.03894531726837	0.289587568939835	0.47642953201957	0.607828754259381	0.00118913835471389	99.7265652906537
695	0.32256809273574		0.50889108607082		1.03592443466187	0.319609124300832	0.526092033196841	0.607515613491999	0.00115347319240997	99.734755379024
692	0.365712410953236		0.577133659345499		1.03646862506866	0.362753442518328	0.597099685237143	0.607525764101278	0.0010780226363157	99.7520839355094
689	0.400786180649514		0.632387302770957		1.0377025604248	0.397827212214606	0.65514739087738	0.607233147462942	0.00103084981197966	99.7629195396838
