Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.166602171422914	0.00296118486556332	0.236383477143837	0.00103457134596371	1.34088253974915	0.16364098655735	0.315575238533435	0.518548246427175	3.97212775441417E-4	99.9085801918446
797	0.163810254243518		0.23260293196241		1.3260293006897	0.160849069377955	0.307066431290086	0.523824986997684	3.87750327453086E-4	99.910757032864
794	0.175704798950018		0.250481064062604		1.31175875663757	0.172743614084455	0.327213621133583	0.527923053710325	3.44245924197157E-4	99.9207658535029
791	0.190524478608819		0.272030825176446		1.29830348491669	0.187563293743256	0.351835380747483	0.533099580106961	3.73109206660518E-4	99.9141253236915
788	0.177194928796359		0.252988743801119		1.28535497188568	0.174233743930795	0.323850548252576	0.538006635687113	3.27971721560665E-4	99.9245102281773
785	0.172683057323909		0.247033202290492		1.27193987369537	0.169721872458345	0.312895467572818	0.542423556898749	2.54809100132294E-4	99.9413452450784
782	0.179844319349737		0.257813096351421		1.25860202312469	0.176883134484174	0.323181971066844	0.547317456788419	4.4304076886924E-4	99.8980381094979
779	0.191549965665268		0.275268078734067		1.24614322185516	0.188588780799705	0.341734226437253	0.55185804116209	3.87988844752031E-4	99.9107021612542
776	0.210687776105155		0.303584875953683		1.23451888561249	0.207726591239591	0.37350406488604	0.556156172766074	3.24753968105109E-4	99.9252505867188
773	0.239268368031968		0.345708811637415		1.22383856773376	0.236307183166405	0.421825628573013	0.560201104816235	3.03884694555197E-4	99.9300524379536
770	0.306352374874509		0.444667517296683		1.21381187438965	0.303391190008946	0.538486937665444	0.563414205225233	2.3163281240731E-4	99.9466787947203
767	0.451375958584574		0.657346138730796		1.20520555973053	0.448414773719011	0.790990349927658	0.566902963809889	2.33075907088883E-4	99.9463466876202
764	0.484400400743875		0.703199513181364		1.19851565361023	0.481439215878312	0.841555674206044	0.572082430948517	2.4028665597271E-4	99.9446872559328
761	0.391274174461936		0.567445815603692		1.19181299209595	0.388312989596373	0.675056279775592	0.575230541852687	1.99317972276206E-4	99.9541158708148
758	0.371793197061751		0.539932125680673		1.18398952484131	0.368832012196188	0.638049059294895	0.578062151841086	1.36102750313424E-4	99.9686660936954
755	0.403708786228656		0.586721584722227		1.17633533477783	0.400747601363093	0.688964328954995	0.581666690887956	6.65183446661053E-5	99.9846847580191
752	0.447564082226515		0.650605826105141		1.16980671882629	0.444602897360951	0.759872818173712	0.585101725877648	6.36978918673583E-5	99.9853340939223
749	0.49098219652446		0.713670113725463		1.16390073299408	0.488021011658897	0.829437030133133	0.58837620449688	6.44557980164614E-5	99.9851596053286
746	0.558243362332358		0.811725696829746		1.15848278999329	0.555282177466795	0.93917171687325	0.591246699075943	1.10663938033931E-5	99.9974519011241
743	0.648852957002038		0.94305880360477		1.15345752239227	0.645891772136475	1.08658493697473	0.594423638831926	-1.83636332143551E-5	100.004228472207
740	0.733323747680135		1.06439787233379		1.14841175079346	0.730362562814571	1.22117891021694	0.598079901891545	-3.66871747967622E-6	100.000844756986
737	0.871566652401181		1.26504734418828		1.14263534545898	0.868605467535617	1.44430567136125	0.601400025464803	3.91982691880862E-5	99.9909746722768
734	1.03443422621328		1.50043008616766		1.13635516166687	1.03147304134772	1.70384583264779	0.605379325748505	8.9425015859749E-5	99.9794112489284
731	1.08972283500115		1.57964179788728		1.12990951538086	1.08676165013559	1.78368332631802	0.609279480331826	1.28135980758244E-4	99.970499952203
728	1.06761775452307		1.55030436758459		1.12338900566101	1.06465656965751	1.74043265589714	0.611719485985345	2.40537564165498E-4	99.9446295141593
725	1.05162297736531		1.53203197446912		1.11702907085419	1.04866179249974	1.71016860669084	0.613192049249983	2.33215175654929E-4	99.9463146370583
722	1.0547101556977		1.54234140680098		1.11090362071991	1.05174897083213	1.71224334414732	0.614252042168629	2.94825602253689E-4	99.9321369337238
719	1.02665320817797		1.5051315210854		1.10438621044159	1.02369202331241	1.66110393045949	0.616272109493616	2.99650243070631E-4	99.9310267791885
716	0.916887398680049		1.34613963634472		1.09723365306854	0.913926213814485	1.47589454422959	0.619235444285453	3.23544078828654E-4	99.9255289661654
713	0.745379644238407		1.09551467213621		1.08915162086487	0.742418459372843	1.19205477578004	0.622805658311321	3.73737506542901E-4	99.9139807766379
710	0.560971179856859		0.826917920279783		1.07961905002594	0.558009994991295	0.891639396608172	0.625824741609652	4.0738389787403E-4	99.906240372795
707	0.426989259310681		0.634261177427776		1.06877458095551	0.424028074445118	0.676776500564965	0.626540776890367	4.80404306475376E-4	99.8894439787793
704	0.345317148125796		0.519854124814855		1.05739140510559	0.342355963260233	0.548595336638726	0.624059193353459	4.91130534666184E-4	99.8869769344499
701	0.303709892585263		0.464666600316135		1.04672133922577	0.3007487077197	0.485293538271619	0.619725349714776	5.44921499909279E-4	99.8746058719662
698	0.29719111087303		0.459769138940441		1.03894531726837	0.294229926007467	0.476600130871414	0.617351752441817	5.7094849036027E-4	99.868620630081
695	0.323367270588992		0.502473251166044		1.03592443466187	0.320406085723428	0.519452580910209	0.616814888400397	5.83534541768108E-4	99.8657264340174
692	0.365545565861129		0.568009874591917		1.03646862506866	0.362584380995566	0.587652113003222	0.617005151470591	6.03333697992079E-4	99.8611737350278
